"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Ibrahim Hussein","0","M","","00:04:54","2:08:43","1","1","1",7723,"Ibrahim","Hussein"
"Juma Ikangaa","0","M","","00:04:54","2:08:44","2","2","2",7724,"Juma","Ikangaa"
"John Treacy","0","M","","00:04:55","2:09:15","3","3","3",7755,"John","Treacy"
"Gelindo Bordin","0","M","","00:04:56","2:09:27","4","4","4",7767,"Gelindo","Bordin"
"Gianni Poli","0","M","","00:04:56","2:09:33","5","5","5",7773,"Gianni","Poli"
"John Campbell","0","M","","00:05:00","2:11:08","6","6","6",7868,"John","Campbell"
"Orlando Pizzolato","0","M","","00:05:03","2:12:32","7","7","7",7952,"Orlando","Pizzolato"
"John Makanya","0","M","","00:05:06","2:14:04","8","8","8",8044,"John","Makanya"
"Steve Jones","0","M","","00:05:06","2:14:07","9","9","9",8047,"Steve","Jones"
"Tamoyuki Taniguchi","0","M","","00:05:07","2:14:18","10","10","10",8058,"Tamoyuki","Taniguchi"
"Zakariah Barie","0","M","","00:05:07","2:14:32","11","11","11",8072,"Zakariah","Barie"
"Hideki Kita","0","M","","00:05:08","2:14:40","12","12","12",8080,"Hideki","Kita"
"Joseph Kipsang","0","M","","00:05:09","2:15:05","13","13","13",8105,"Joseph","Kipsang"
"Mike O'Reilly","0","M","","00:05:09","2:15:27","14","14","14",8127,"Mike","O'Reilly"
"Ahmet Altun","0","M","","00:05:10","2:15:48","15","15","15",8148,"Ahmet","Altun"
"Jean Chabounal","0","M","","00:05:11","2:15:58","16","16","16",8158,"Jean","Chabounal"
"Vesa Kahkola","0","M","","00:05:11","2:16:17","17","17","17",8177,"Vesa","Kahkola"
"Geoff Smith","0","M","","00:05:12","2:16:34","18","18","18",8194,"Geoff","Smith"
"Jean-Yves Madelon","0","M","","00:05:12","2:16:42","19","19","19",8202,"Jean-Yves","Madelon"
"John Burra","0","M","","00:05:13","2:17:11","20","20","20",8231,"John","Burra"
"Gidamas Shahanga","0","M","","00:05:14","2:17:33","21","21","21",8253,"Gidamas","Shahanga"
"Tommy Ekblom","0","M","","00:05:14","2:17:34","22","22","22",8254,"Tommy","Ekblom"
"Roger Soler","0","M","","00:05:15","2:17:46","23","23","23",8266,"Roger","Soler"
"Silvio Salazar","0","M","","00:05:15","2:17:49","24","24","24",8269,"Silvio","Salazar"
"Ryszard Marczak","0","M","","00:05:15","2:17:53","25","25","25",8273,"Ryszard","Marczak"
"Daniel Nzoika Kavuu","0","M","","00:05:15","2:18:03","26","26","26",8283,"Daniel Nzoika Kavuu",""
"Jean-Luc Assamet","0","M","","00:05:16","2:18:16","27","27","27",8296,"Jean-Luc","Assamet"
"Bill Rodgers","0","M","","00:05:16","2:18:17","28","28","28",8297,"Bill","Rodgers"
"Martti Vainio","0","M","","00:05:17","2:18:37","29","29","29",8317,"Martti","Vainio"
"Steve Kogo","0","M","","00:05:17","2:18:47","30","30","30",8327,"Steve","Kogo"
"Masahiro Kudo","0","M","","00:05:17","2:18:50","31","31","31",8330,"Masahiro","Kudo"
"Gabriel S Kamau","0","M","","00:05:18","2:18:59","32","32","32",8339,"Gabriel S Kamau",""
"Goran Hogberg","0","M","","00:05:19","2:19:37","33","33","33",8377,"Goran","Hogberg"
"Gerardo Miranda","0","M","","00:05:20","2:20:11","34","34","34",8411,"Gerardo","Miranda"
"Sauli Harjamki","0","M","","00:05:20","2:20:12","35","35","35",8412,"Sauli","Harjamki"
"Nech El-Mustapha","0","M","","00:05:21","2:20:18","36","36","36",8418,"Nech","El-Mustapha"
"Agapius Masong","0","M","","00:05:21","2:20:23","37","37","37",8423,"Agapius","Masong"
"Luis Torres","0","M","","00:05:21","2:20:32","38","38","38",8432,"Luis","Torres"
"Ronald Lanzoni","0","M","","00:05:21","2:20:37","39","39","39",8437,"Ronald","Lanzoni"
"llkka Vaanenen","0","M","","00:05:21","2:20:38","40","40","40",8438,"llkka","Vaanenen"
"Artemis Navarro","0","M","","00:05:22","2:20:56","41","41","41",8456,"Artemis","Navarro"
"Alan Lind","0","M","","00:05:22","2:20:58","42","42","42",8458,"Alan","Lind"
"Andrew T Kipkogei","0","M","","00:05:22","2:20:58","42","42","42",8458,"Andrew T Kipkogei",""
"Ale E Tulu","0","M","","00:05:23","2:21:21","44","44","44",8481,"Ale E Tulu",""
"Tatsuya Moriguchi","0","M","","00:05:23","2:21:34","45","45","45",8494,"Tatsuya","Moriguchi"
"Seppo Kykkanen","0","M","","00:05:24","2:21:41","46","46","46",8501,"Seppo","Kykkanen"
"Taib Tounsi","0","M","","00:05:24","2:21:55","47","47","47",8515,"Taib","Tounsi"
"Joseph M Otieno","0","M","","00:05:24","2:21:58","48","48","48",8518,"Joseph M Otieno",""
"Per-Ole Holmnas","0","M","","00:05:25","2:22:26","49","49","49",8546,"Per-Ole","Holmnas"
"Robert P Schwelm","0","M","","00:05:26","2:22:32","50","50","50",8552,"Robert P Schwelm",""
"Jesus Amarelies","0","M","","00:05:27","2:22:54","51","51","51",8574,"Jesus","Amarelies"
"Todd L Smoot","0","M","","00:05:28","2:23:26","52","52","52",8606,"Todd L Smoot",""
"Randy J Haas","0","M","","00:05:28","2:23:29","53","53","53",8609,"Randy J Haas",""
"Dennis J Rice","0","M","","00:05:28","2:23:29","53","53","53",8609,"Dennis J Rice",""
"Steve H Molnar","0","M","","00:05:28","2:23:35","55","55","55",8615,"Steve H Molnar",""
"Roy A Bieber","0","M","","00:05:28","2:23:39","56","56","56",8619,"Roy A Bieber",""
"Japhet Mashishanga","0","M","","00:05:29","2:23:54","57","57","57",8634,"Japhet","Mashishanga"
"Jerry R MacAri","0","M","","00:05:29","2:24:11","58","58","58",8651,"Jerry R MacAri",""
