"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Camp Devens Divisional Team","0","M","","00:05:31","2:24:53","1","1","1",8693,"Camp Devens Divisional Team",""
"Infantry Camp Devens","0","M","","00:05:39","2:28:10","2","2","2",8890,"Infantry Camp Devens",""
"Boston Navy Yard","0","M","","00:05:40","2:28:45","3","3","3",8925,"Boston Navy Yard",""
"Signal Battalion Camp Devens","0","M","","00:05:41","2:29:14","4","4","4",8954,"Signal Battalion Camp Devens",""
"Naval Cadet School","0","M","","00:05:41","2:29:23","5","5","5",8963,"Naval Cadet School",""
"Infantry Camp Devens","0","M","","00:05:48","2:32:20","6","6","6",9140,"Infantry Camp Devens",""
"Bumkin Island","0","M","","00:06:00","2:37:20","7","7","7",9440,"Bumkin","Island"
"U S N Radio","0","M","","00:06:16","2:44:26","8","8","8",9866,"U S N Radio",""
