"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Kenji Kimihara","0","M","","00:05:13","2:17:11","1","1","1",8231,"Kenji","Kimihara"
"Seiichiro Sasaki","0","M","","00:05:14","2:17:34","2","2","2",8254,"Seiichiro","Sasaki"
"Tooru Terasawa","0","M","","00:05:15","2:17:46","3","3","3",8266,"Tooru","Terasawa"
"Hirokazu Okabe","0","M","","00:05:16","2:18:11","4","4","4",8291,"Hirokazu","Okabe"
"Norman Higgins","0","M","","00:05:16","2:18:26","5","5","5",8306,"Norman","Higgins"
"Dave Ellis","0","M","","00:05:19","2:19:47","6","6","6",8387,"Dave","Ellis"
"Tom Laris","0","M","","00:05:24","2:21:44","7","7","7",8504,"Tom","Laris"
"Bob Scharf","0","M","","00:05:25","2:22:15","8","8","8",8535,"Bob","Scharf"
"Bong Nae Kim","0","M","","00:05:31","2:24:44","9","9","9",8684,"Bong Nae Kim",""
"Ron Daws","0","M","","00:05:31","2:24:47","10","10","10",8687,"Ron","Daws"
"Tehno Salakka","0","M","","00:05:32","2:25:19","11","11","11",8719,"Tehno","Salakka"
"Gar Williams","0","M","","00:05:36","2:26:54","12","12","12",8814,"Gar","Williams"
"Andrew Boychuk","0","M","","00:05:37","2:27:20","13","13","13",8840,"Andrew","Boychuk"
"Myung-Jong Yoo","0","M","","00:05:38","2:27:52","14","14","14",8872,"Myung-Jong","Yoo"
"Nick A Kitt","0","M","","00:05:39","2:28:32","15","15","15",8912,"Nick A Kitt",""
"Ron Wallingford","0","M","","00:05:43","2:30:06","16","16","16",9006,"Ron","Wallingford"
"Eugene W Coinroe","0","M","","00:05:47","2:32:02","17","17","17",9122,"Eugene W Coinroe",""
"John W Duffield","0","M","","00:05:47","2:32:02","17","17","17",9122,"John W Duffield",""
"Paul F Hoffman","0","M","","00:05:49","2:32:37","19","19","19",9157,"Paul F Hoffman",""
"Louis C Castagnola","0","M","","00:05:51","2:33:48","20","20","20",9228,"Louis C Castagnola",""
"Michael E Kimball","0","M","","00:05:52","2:33:58","21","21","21",9238,"Michael E Kimball",""
"Leo J Carroll","0","M","","00:05:55","2:35:20","22","22","22",9320,"Leo J Carroll",""
"John R Brennan","0","M","","00:05:55","2:35:24","23","23","23",9324,"John R Brennan",""
"Roger Pratt","0","M","","00:05:56","2:35:53","24","24","24",9353,"Roger","Pratt"
"Louis F Coppens","0","M","","00:05:57","2:36:10","25","25","25",9370,"Louis F Coppens",""
"Edward Ayers","0","M","","00:05:59","2:37:05","26","26","26",9425,"Edward","Ayers"
"Edward J Winrow","0","M","","00:06:01","2:38:00","27","27","27",9480,"Edward J Winrow",""
"James M Wrynn","0","M","","00:06:01","2:38:01","28","28","28",9481,"James M Wrynn",""
"John B Dockstader","0","M","","00:06:01","2:38:05","29","29","29",9485,"John B Dockstader",""
"Peter MacDonald","0","M","","00:06:01","2:38:11","30","30","30",9491,"Peter","MacDonald"
"James S Van Manen","0","M","","00:06:03","2:38:47","31","31","31",9527,"James S Van Manen",""
"Ludwig W Schiessl","0","M","","00:06:04","2:39:12","32","32","32",9552,"Ludwig W Schiessl",""
"Albert Campbell","0","M","","00:06:04","2:39:23","33","33","33",9563,"Albert","Campbell"
"Robert Fusco","0","M","","00:06:05","2:39:55","34","34","34",9595,"Robert","Fusco"
"Irwin F Zablocky","0","M","","00:06:08","2:40:55","35","35","35",9655,"Irwin F Zablocky",""
"Reuben J Bigelow","0","M","","00:06:11","2:42:20","36","36","36",9740,"Reuben J Bigelow",""
"Abrahan Assa","0","M","","00:06:13","2:43:20","37","37","37",9800,"Abrahan","Assa"
"William Eld","0","M","","00:06:14","2:43:46","38","38","38",9826,"William","Eld"
"John E Garlepp","0","M","","00:06:15","2:44:00","39","39","39",9840,"John E Garlepp",""
"Stuart Adams","0","M","","00:06:15","2:44:12","40","40","40",9852,"Stuart","Adams"
"Mike Bigelow","0","M","","00:06:19","2:45:50","41","41","41",9950,"Mike","Bigelow"
"James A Daley Jr","0","M","","00:06:20","2:46:28","42","42","42",9988,"James A Daley Jr",""
"Martin Ande","0","M","","00:06:21","2:46:38","43","43","43",9998,"Martin","Ande"
"Theodore Corbitt","0","M","","00:06:22","2:46:59","44","44","44",10019,"Theodore","Corbitt"
"Jerry Riordan","0","M","","00:06:25","2:48:18","45","45","45",10098,"Jerry","Riordan"
"Lwarence J","0","M","","00:06:25","2:48:35","46","46","46",10115,"Lwarence","J"
"Edmund J Connor","0","M","","00:06:27","2:49:14","47","47","47",10154,"Edmund J Connor",""
"Vincent J Chiappetta","0","M","","00:06:27","2:49:15","48","48","48",10155,"Vincent J Chiappetta",""
"Francis D Faherty","0","M","","00:06:28","2:49:43","49","49","49",10183,"Francis D Faherty",""
"William W Anderson","0","M","","00:06:28","2:49:52","50","50","50",10192,"William W Anderson",""
