"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Timothy Ford","0","M","","00:06:19","2:45:45","1","1","1",9945,"Timothy","Ford"
"David J Kneeland","0","M","","00:06:19","2:45:51","2","2","2",9951,"David J Kneeland",""
"Thomas P Morrissey","0","M","","00:06:37","2:53:41","3","3","3",10421,"Thomas P Morrissey",""
"P Laffargue","0","M","","00:06:38","2:53:56","4","4","4",10436,"P","Laffargue"
"John J Hayes","0","M","","00:06:41","2:55:38","5","5","5",10538,"John J Hayes",""
"Martin J OONeil","0","M","","00:06:44","2:56:55","6","6","6",10615,"Martin J OONeil",""
"Thomas J Sullivan","0","M","","00:06:56","3:02:06","7","7","7",10926,"Thomas J Sullivan",""
"Ben Mann","0","M","","00:06:56","3:02:06","7","7","7",10926,"Ben","Mann"
"W R Prouty","0","M","","00:07:08","3:07:11","9","9","9",11231,"W R Prouty",""
"Harry Brawley","0","M","","00:07:10","3:08:11","10","10","10",11291,"Harry","Brawley"
"James D McCherry","0","M","","00:07:10","3:08:12","11","11","11",11292,"James D McCherry",""
"Bennett Jacobs","0","M","","00:07:10","3:08:13","12","12","12",11293,"Bennett","Jacobs"
"H Goldberg","0","M","","00:07:13","3:09:21","13","13","13",11361,"H","Goldberg"
