"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Franjo Mihalic","0","M","","00:05:33","2:25:54","1","1","1",8754,"Franjo","Mihalic"
"John J Kelley","0","M","","00:05:45","2:30:51","2","2","2",9051,"John J Kelley",""
"Einno Pulkkinen","0","M","","00:05:59","2:37:05","3","3","3",9425,"Einno","Pulkkinen"
"Tony Sapienza","0","M","","00:06:05","2:39:46","4","4","4",9586,"Tony","Sapienza"
"Pedro Peralta","0","M","","00:06:12","2:42:35","5","5","5",9755,"Pedro","Peralta"
"Shalom Kahalani","0","M","","00:06:24","2:48:00","6","6","6",10080,"Shalom","Kahalani"
"Thomas C Ryan","0","M","","00:06:29","2:50:13","7","7","7",10213,"Thomas C Ryan",""
"Gonzales Scotto","0","M","","00:06:33","2:52:07","8","8","8",10327,"Gonzales","Scotto"
"John A Kelley","0","M","","00:06:34","2:52:12","9","9","9",10332,"John A Kelley",""
"Laurence H Fauber","0","M","","00:06:36","2:53:17","10","10","10",10397,"Laurence H Fauber",""
"Jim Green","0","M","","00:06:41","2:55:32","11","11","11",10532,"Jim","Green"
"Ted Suito","0","M","","00:06:47","2:57:52","12","12","12",10672,"Ted","Suito"
"Nat Cirulnick","0","M","","00:06:48","2:58:26","13","13","13",10706,"Nat","Cirulnick"
"Jack Hughes","0","M","","00:06:50","2:59:12","14","14","14",10752,"Jack","Hughes"
"Jim Borden","0","M","","00:06:52","3:00:11","15","15","15",10811,"Jim","Borden"
"Michael O'Hara","0","M","","00:06:56","3:02:07","16","16","16",10927,"Michael","O'Hara"
"Jose Onus","0","M","","00:06:58","3:02:44","17","17","17",10964,"Jose","Onus"
"Richard Packard","0","M","","00:06:59","3:03:08","18","18","18",10988,"Richard","Packard"
"Donald M Fay","0","M","","00:07:00","3:03:45","19","19","19",11025,"Donald M Fay",""
"Bob Cummings","0","M","","00:07:08","3:07:07","20","20","20",11227,"Bob","Cummings"
"John M Gray","0","M","","00:07:09","3:07:47","21","21","21",11267,"John M Gray",""
"Roland Michaud","0","M","","00:07:12","3:09:08","22","22","22",11348,"Roland","Michaud"
"John Boosas","0","M","","00:07:17","3:11:01","23","23","23",11461,"John","Boosas"
"Alabama Silvan","0","M","","00:07:22","3:13:35","24","24","24",11615,"Alabama","Silvan"
"Jos Dube","0","M","","00:07:24","3:14:15","25","25","25",11655,"Jos","Dube"
