"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Eino Oksanen","0","M","","00:05:28","2:23:29","1","1","1",8609,"Eino","Oksanen"
"John J Kelley","0","M","","00:05:29","2:23:54","2","2","2",8634,"John J Kelley",""
"Fred Norris","0","M","","00:05:33","2:25:46","3","3","3",8746,"Fred","Norris"
"Gordon McKenzie","0","M","","00:05:40","2:28:40","4","4","4",8920,"Gordon","McKenzie"
"Olavi Manninen","0","M","","00:05:42","2:29:46","5","5","5",8986,"Olavi","Manninen"
"George Terry","0","M","","00:05:44","2:30:20","6","6","6",9020,"George","Terry"
"Gar Williams","0","M","","00:05:48","2:32:22","7","7","7",9142,"Gar","Williams"
"Fritz Gruber","0","M","","00:05:49","2:32:49","8","8","8",9169,"Fritz","Gruber"
"James Green","0","M","","00:05:50","2:32:58","9","9","9",9178,"James","Green"
"Edward Duncan","0","M","","00:05:51","2:33:46","10","10","10",9226,"Edward","Duncan"
"Graham Parnell","0","M","","00:06:00","2:37:32","11","11","11",9452,"Graham","Parnell"
"Ted Corbitt","0","M","","00:06:02","2:38:33","12","12","12",9513,"Ted","Corbitt"
"Jessie E Eblen","0","M","","00:06:04","2:39:09","13","13","13",9549,"Jessie E Eblen",""
"Alfred A Confalone","0","M","","00:06:09","2:41:27","14","14","14",9687,"Alfred A Confalone",""
"Rodney R MacNicholl","0","M","","00:06:10","2:41:45","15","15","15",9705,"Rodney R MacNicholl",""
"Duane E Merchant","0","M","","00:06:12","2:42:52","16","16","16",9772,"Duane E Merchant",""
"John A Kelley","0","M","","00:06:17","2:44:53","17","17","17",9893,"John A Kelley",""
"Robert Zollinhofer","0","M","","00:06:22","2:47:18","18","18","18",10038,"Robert","Zollinhofer"
"Orman Higgins","0","M","","00:06:23","2:47:23","19","19","19",10043,"Orman","Higgins"
"William J Squires","0","M","","00:06:23","2:47:46","20","20","20",10066,"William J Squires",""
"Atlen Fletcher","0","M","","00:06:24","2:48:05","21","21","21",10085,"Atlen","Fletcher"
"Angus F Wooten","0","M","","00:06:24","2:48:09","22","22","22",10089,"Angus F Wooten",""
"Richard D Packard","0","M","","00:06:24","2:48:14","23","23","23",10094,"Richard D Packard",""
"Robert H Cummings","0","M","","00:06:25","2:48:16","24","24","24",10096,"Robert H Cummings",""
"James Councill","0","M","","00:06:32","2:51:34","25","25","25",10294,"James","Councill"
"Gerard T Harvey","0","M","","00:06:34","2:52:23","26","26","26",10343,"Gerard T Harvey",""
"James Nolan","0","M","","00:06:38","2:54:18","27","27","27",10458,"James","Nolan"
"Mark D Pennachio","0","M","","00:06:38","2:54:18","27","27","27",10458,"Mark D Pennachio",""
"Nathaniel Ciruinick","0","M","","00:06:39","2:54:45","29","29","29",10485,"Nathaniel","Ciruinick"
"Don M Fay","0","M","","00:06:41","2:55:17","30","30","30",10517,"Don M Fay",""
"Richard Weeks","0","M","","00:06:43","2:56:15","31","31","31",10575,"Richard","Weeks"
"Roger Erickson","0","M","","00:06:43","2:56:23","32","32","32",10583,"Roger","Erickson"
"Warren R Guild","0","M","","00:06:43","2:56:25","33","33","33",10585,"Warren R Guild",""
"John E Garlepp","0","M","","00:06:47","2:58:04","34","34","34",10684,"John E Garlepp",""
"Royce N Sawyer","0","M","","00:06:47","2:58:10","35","35","35",10690,"Royce N Sawyer",""
"Myron C Bigelow","0","M","","00:06:51","2:59:46","36","36","36",10786,"Myron C Bigelow",""
"M Vernon Ordiway","0","M","","00:06:53","3:00:48","37","37","37",10848,"M Vernon Ordiway",""
"Aldo M Scandurra","0","M","","00:06:53","3:00:55","38","38","38",10855,"Aldo M Scandurra",""
"James S Adams","0","M","","00:06:57","3:02:26","39","39","39",10946,"James S Adams",""
"Sid Smith","0","M","","00:06:58","3:03:00","40","40","40",10980,"Sid","Smith"
"John Kopil","0","M","","00:07:06","3:06:31","41","41","41",11191,"John","Kopil"
"Jerry Dean Jones","0","M","","00:07:08","3:07:20","42","42","42",11240,"Jerry Dean Jones",""
"John J Bianchi","0","M","","00:07:10","3:08:05","43","43","43",11285,"John J Bianchi",""
"Michael J O'Hara","0","M","","00:07:11","3:08:22","44","44","44",11302,"Michael J O'Hara",""
"Carlton R Comstock","0","M","","00:07:15","3:10:09","45","45","45",11409,"Carlton R Comstock",""
"Daniel M Dunlop","0","M","","00:07:17","3:11:18","46","46","46",11478,"Daniel M Dunlop",""
"Ted Suitp","0","M","","00:07:18","3:11:40","47","47","47",11500,"Ted","Suitp"
"Christopher Picard","0","M","","00:07:19","3:11:58","48","48","48",11518,"Christopher","Picard"
"Kurt Steiner","0","M","","00:07:21","3:12:50","49","49","49",11570,"Kurt","Steiner"
"Edward W Hildreth","0","M","","00:07:24","3:14:20","50","50","50",11660,"Edward W Hildreth",""
"John H Linscott","0","M","","00:07:26","3:14:55","51","51","51",11695,"John H Linscott",""
"Lawrence Ejo Downney","0","M","","00:07:26","3:15:11","52","52","52",11711,"Lawrence Ejo Downney",""
"Ed Sienkiewicz","0","M","","00:07:29","3:16:26","53","53","53",11786,"Ed","Sienkiewicz"
"James O'Connell","0","M","","00:07:33","3:18:22","54","54","54",11902,"James","O'Connell"
"Ed Ouellet","0","M","","00:07:37","3:19:55","55","55","55",11995,"Ed","Ouellet"
"Ernest Medalia","0","M","","00:07:46","3:23:59","56","56","56",12239,"Ernest","Medalia"
"Ronald V Gaff","0","M","","00:07:47","3:24:18","57","57","57",12258,"Ronald V Gaff",""
"Milton Palaky","0","M","","00:07:51","3:25:54","58","58","58",12354,"Milton","Palaky"
"Harry Murphy","0","M","","00:07:51","3:26:10","59","59","59",12370,"Harry","Murphy"
"Constantinos Kotteakos","0","M","","00:07:52","3:26:19","60","60","60",12379,"Constantinos","Kotteakos"
"Robert Heller","0","M","","00:07:52","3:26:33","61","61","61",12393,"Robert","Heller"
"Lionel H Roy","0","M","","00:07:54","3:27:26","62","62","62",12446,"Lionel H Roy",""
"Francis X Hohmann","0","M","","00:07:54","3:27:29","63","63","63",12449,"Francis X Hohmann",""
"Martin T Torchia","0","M","","00:07:57","3:28:32","64","64","64",12512,"Martin T Torchia",""
"Kenneth D Brick","0","M","","00:07:57","3:28:42","65","65","65",12522,"Kenneth D Brick",""
"John E Norton","0","M","","00:07:57","3:28:46","66","66","66",12526,"John E Norton",""
"Dennis Linchan","0","M","","00:07:57","3:28:48","67","67","67",12528,"Dennis","Linchan"
"Alphonsus Mechan","0","M","","00:07:59","3:29:26","68","68","68",12566,"Alphonsus","Mechan"
"Richard T Lyon","0","M","","00:08:05","3:32:12","69","69","69",12732,"Richard T Lyon",""
"David P Hasenfus","0","M","","00:08:10","3:34:21","70","70","70",12861,"David P Hasenfus",""
"Jerry Riordan","0","M","","00:08:12","3:35:14","71","71","71",12914,"Jerry","Riordan"
"Cyril M Gonsorik","0","M","","00:08:12","3:35:21","72","72","72",12921,"Cyril M Gonsorik",""
"Ludwig Tinkus","0","M","","00:08:12","3:35:24","73","73","73",12924,"Ludwig","Tinkus"
"Patrick J Foney","0","M","","00:08:14","3:36:05","74","74","74",12965,"Patrick J Foney",""
"Benjamin Malkasian","0","M","","00:08:16","3:37:03","75","75","75",13023,"Benjamin","Malkasian"
"Stanley C Tiernan","0","M","","00:08:23","3:40:01","76","76","76",13201,"Stanley C Tiernan",""
"Arthur F Annis","0","M","","00:08:24","3:40:30","77","77","77",13230,"Arthur F Annis",""
"Charles F Williamson","0","M","","00:08:28","3:42:12","78","78","78",13332,"Charles F Williamson",""
"Alton B Chamberlin","0","M","","00:08:30","3:43:10","79","79","79",13390,"Alton B Chamberlin",""
"James B Logue","0","M","","00:08:31","3:43:20","80","80","80",13400,"James B Logue",""
"Raimo L Ahti","0","M","","00:08:31","3:43:44","81","81","81",13424,"Raimo L Ahti",""
"Joseph N Hohmann","0","M","","00:08:35","3:45:16","82","82","82",13516,"Joseph N Hohmann",""
"Charles A Robbins","0","M","","00:08:37","3:46:04","83","83","83",13564,"Charles A Robbins",""
"Robert M Einaudi","0","M","","00:08:37","3:46:08","84","84","84",13568,"Robert M Einaudi",""
"Mark D Pennachio","0","M","","00:08:38","3:46:26","85","85","85",13586,"Mark D Pennachio",""
"Charles Brederson","0","M","","00:08:39","3:47:03","86","86","86",13623,"Charles","Brederson"
"Joseph Keller","0","M","","00:08:40","3:47:24","87","87","87",13644,"Joseph","Keller"
"Charles Armstrong","0","M","","00:08:41","3:47:51","88","88","88",13671,"Charles","Armstrong"
"Jay J Mahoney","0","M","","00:08:46","3:50:03","89","89","89",13803,"Jay J Mahoney",""
"Ernest MacDonald","0","M","","00:08:54","3:53:25","90","90","90",14005,"Ernest","MacDonald"
"Don Winn","0","M","","00:08:55","3:54:10","91","91","91",14050,"Don","Winn"
"Bill Tansey","0","M","","00:08:57","3:55:04","92","92","92",14104,"Bill","Tansey"
"John J Conway","0","M","","00:08:59","3:55:37","93","93","93",14137,"John J Conway",""
"Thomas J O'Neil","0","M","","00:09:01","3:56:44","94","94","94",14204,"Thomas J O'Neil",""
"David Weiz","0","M","","00:09:02","3:57:12","95","95","95",14232,"David","Weiz"
"Robert C Mac Veigh","0","M","","00:09:14","4:02:14","96","96","96",14534,"Robert C Mac Veigh",""
"Robert L Kramer","0","M","","00:09:18","4:03:58","97","97","97",14638,"Robert L Kramer",""
"James J Pates Jr","0","M","","00:09:19","4:04:19","98","98","98",14659,"James J Pates Jr",""
"Gene B Rosenberg","0","M","","00:09:26","4:07:42","99","99","99",14862,"Gene B Rosenberg",""
"John Barrett","0","M","","00:09:26","4:07:42","99","99","99",14862,"John","Barrett"
"Augustus S Wright","0","M","","00:09:38","4:12:57","101","101","101",15177,"Augustus S Wright",""
"Jaul Ouelette","0","M","","00:09:39","4:13:06","102","102","102",15186,"Jaul","Ouelette"
