"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Henri Renaud","0","M","","00:06:37","2:53:36","1","1","1",10416,"Henri","Renaud"
"Harry Jensen","0","M","","00:06:45","2:57:13","2","2","2",10633,"Harry","Jensen"
"Patrick J Grant","0","M","","00:06:45","2:57:17","3","3","3",10637,"Patrick J Grant",""
"James F Crowley","0","M","","00:06:51","2:59:42","4","4","4",10782,"James F Crowley",""
"Samuel A Mellor Jr","0","M","","00:06:53","3:00:53","5","5","5",10853,"Samuel A Mellor Jr",""
"Joseph P McHugh","0","M","","00:06:56","3:01:52","6","6","6",10912,"Joseph P McHugh",""
"Edward G Ryder","0","M","","00:06:58","3:02:48","7","7","7",10968,"Edward G Ryder",""
"Carl D Schlobohm","0","M","","00:07:06","3:06:10","8","8","8",11170,"Carl D Schlobohm",""
"Edward L McTiernan","0","M","","00:07:10","3:08:08","9","9","9",11288,"Edward L McTiernan",""
"Robert A Fowler","0","M","","00:07:13","3:09:31","10","10","10",11371,"Robert A Fowler",""
"Alfred G Horne","0","M","","00:07:16","3:10:50","11","11","11",11450,"Alfred G Horne",""
"Robert A Stone","0","M","","00:07:19","3:11:58","12","12","12",11518,"Robert A Stone",""
"Frank E Miller","0","M","","00:07:31","3:17:14","13","13","13",11834,"Frank E Miller",""
"Elmer E Lincoln","0","M","","00:07:35","3:19:16","14","14","14",11956,"Elmer E Lincoln",""
"Henry L Holscher","0","M","","00:07:36","3:19:27","15","15","15",11967,"Henry L Holscher",""
"B J Nelson","0","M","","00:07:45","3:23:24","16","16","16",12204,"B J Nelson",""
"James J Lee","0","M","","00:07:50","3:25:33","17","17","17",12333,"James J Lee",""
"W J Fallon","0","M","","00:07:51","3:26:15","18","18","18",12375,"W J Fallon",""
"Albert H Ellis","0","M","","00:07:52","3:26:41","19","19","19",12401,"Albert H Ellis",""
"W A Phelan","0","M","","00:07:53","3:27:01","20","20","20",12421,"W A Phelan",""
