"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Veikko Karvonen","0","M","Finland","00:05:21","2:20:39","1","1","1",8439,"Veikko","Karvonen"
"James H Peters","0","M","England","00:05:26","2:22:40","2","2","2",8560,"James H Peters",""
"Erkki Puolakka","0","M","Finland","00:05:30","2:24:25","3","3","3",8665,"Erkki","Puolakka"
"Kurau Hiroshima","0","M","Japan","00:05:32","2:25:30","4","4","4",8730,"Kurau","Hiroshima"
"Katsua Nishida","0","M","Japan","00:05:37","2:27:35","5","5","5",8855,"Katsua","Nishida"
"Delfo Cabreara-Gomez","0","M","Argentina","00:05:38","2:27:50","6","6","6",8870,"Delfo","Cabreara-Gomez"
"John J Kelley","0","M","Connecticut","00:05:40","2:28:51","7","7","7",8931,"John J Kelley",""
"Ezequiel Busamante","0","M","Argentina","00:05:51","2:33:40","8","8","8",9220,"Ezequiel","Busamante"
"Nicholas Costes","0","M","Pennsylvania","00:05:55","2:35:17","9","9","9",9317,"Nicholas","Costes"
"Nobuyoshi Sadanaga","0","M","Japan","00:05:59","2:37:19","10","10","10",9439,"Nobuyoshi","Sadanaga"
"Theodore Corbitt","0","M","New York","00:06:07","2:40:37","11","11","11",9637,"Theodore","Corbitt"
"Anthony T Diamond","0","M","Canada","00:06:16","2:44:34","12","12","12",9874,"Anthony T Diamond",""
"Norman Tamanaha","0","M","Hawaii","00:06:19","2:45:45","13","13","13",9945,"Norman","Tamanaha"
"George L Norman","0","M","Canada","00:06:27","2:49:11","14","14","14",10151,"George L Norman",""
"Aldo Scandurro","0","M","New York","00:06:28","2:49:37","15","15","15",10177,"Aldo","Scandurro"
"John A Keller","0","M","Massachusetts","00:06:30","2:50:33","16","16","16",10233,"John A Keller",""
"Nathaniel Giruinick","0","M","New York","00:06:30","2:50:38","17","17","17",10238,"Nathaniel","Giruinick"
"Michael J O'Hara","0","M","UNKNOWN","00:06:39","2:54:44","18","18","18",10484,"Michael J O'Hara",""
"David Gott","0","M","Massachusetts","00:06:40","2:55:10","19","19","19",10510,"David","Gott"
"Carl Quelimaiz","0","M","New Jersey","00:06:42","2:55:55","20","20","20",10555,"Carl","Quelimaiz"
"Anthony Medeiros","0","M","Massachusetts","00:06:42","2:56:05","21","21","21",10565,"Anthony","Medeiros"
