"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Eino Oksanen","0","M","","00:05:29","2:23:48","1","1","1",8628,"Eino","Oksanen"
"Paavo Pystynen","0","M","","00:05:31","2:24:58","2","2","2",8698,"Paavo","Pystynen"
"Alexander Breckenridge","0","M","","00:05:37","2:27:17","3","3","3",8837,"Alexander","Breckenridge"
"John J Kelley","0","M","","00:05:40","2:28:37","4","4","4",8917,"John J Kelley",""
"Orville Atkins","0","M","","00:05:47","2:31:49","5","5","5",9109,"Orville","Atkins"
"Erki Kaunitso","0","M","","00:05:48","2:32:26","6","6","6",9146,"Erki","Kaunitso"
"George Terry","0","M","","00:05:49","2:32:48","7","7","7",9168,"George","Terry"
"Allen Hull Jr","0","M","","00:05:50","2:33:01","8","8","8",9181,"Allen Hull Jr",""
"Richard Haines","0","M","","00:05:50","2:33:09","9","9","9",9189,"Richard","Haines"
"Larry Damon","0","M","","00:05:52","2:34:05","10","10","10",9245,"Larry","Damon"
"William H Schwab","0","M","","00:05:54","2:35:01","11","11","11",9301,"William H Schwab",""
"Edward Duncan","0","M","","00:05:58","2:36:40","12","12","12",9400,"Edward","Duncan"
"Duane E Merchant","0","M","","00:06:00","2:37:25","13","13","13",9445,"Duane E Merchant",""
"Ted Corbitt","0","M","","00:06:00","2:37:42","14","14","14",9462,"Ted","Corbitt"
"Leonard V Ehler","0","M","","00:06:02","2:38:30","15","15","15",9510,"Leonard V Ehler",""
"Robet Bamberger","0","M","","00:06:03","2:39:00","16","16","16",9540,"Robet","Bamberger"
"Robert Scharf","0","M","","00:06:04","2:39:29","17","17","17",9569,"Robert","Scharf"
"Robert Avery","0","M","","00:06:05","2:39:40","18","18","18",9580,"Robert","Avery"
"Robert Cummings","0","M","","00:06:07","2:40:46","19","19","19",9646,"Robert","Cummings"
"William Welse","0","M","","00:06:09","2:41:19","20","20","20",9679,"William","Welse"
"Richard D Packard","0","M","","00:06:10","2:41:46","21","21","21",9706,"Richard D Packard",""
"Wayne Lamothe","0","M","","00:06:10","2:42:05","22","22","22",9725,"Wayne","Lamothe"
"Alfred Confalone","0","M","","00:06:13","2:43:09","23","23","23",9789,"Alfred","Confalone"
"Myron C Bigelow","0","M","","00:06:15","2:44:08","24","24","24",9848,"Myron C Bigelow",""
"John A Kelley","0","M","","00:06:16","2:44:36","25","25","25",9876,"John A Kelley",""
"Hal Higdon","0","M","","00:06:18","2:45:21","26","26","26",9921,"Hal","Higdon"
"Rod MacNicholl","0","M","","00:06:20","2:46:07","27","27","27",9967,"Rod","MacNicholl"
"Don M Fay","0","M","","00:06:22","2:47:06","28","28","28",10026,"Don M Fay",""
"Danny Pucknell","0","M","","00:06:23","2:47:32","29","29","29",10052,"Danny","Pucknell"
"Vin Kern","0","M","","00:06:24","2:47:53","30","30","30",10073,"Vin","Kern"
"John Garlepp","0","M","","00:06:24","2:48:08","31","31","31",10088,"John","Garlepp"
"Richard Weeks","0","M","","00:06:26","2:48:48","32","32","32",10128,"Richard","Weeks"
"Gerald Grasso","0","M","","00:06:26","2:48:51","33","33","33",10131,"Gerald","Grasso"
"Gerald Harvey","0","M","","00:06:26","2:49:01","34","34","34",10141,"Gerald","Harvey"
"James Adams","0","M","","00:06:26","2:49:03","35","35","35",10143,"James","Adams"
"James O'Connell","0","M","","00:06:27","2:49:30","36","36","36",10170,"James","O'Connell"
"George Crerar","0","M","","00:06:29","2:50:24","37","37","37",10224,"George","Crerar"
"Richard Bushe","0","M","","00:06:30","2:50:50","38","38","38",10250,"Richard","Bushe"
"William Langen","0","M","","00:06:31","2:50:58","39","39","39",10258,"William","Langen"
"John Kelly","0","M","","00:06:32","2:51:36","40","40","40",10296,"John","Kelly"
"Martin O'Brien","0","M","","00:06:36","2:53:26","41","41","41",10406,"Martin","O'Brien"
"James Coucill","0","M","","00:06:40","2:54:58","42","42","42",10498,"James","Coucill"
"Aldo Scandurra","0","M","","00:06:40","2:55:02","43","43","43",10502,"Aldo","Scandurra"
"Nathaniel Cirulnick","0","M","","00:06:43","2:56:28","44","44","44",10588,"Nathaniel","Cirulnick"
"Gonzales Scotto","0","M","","00:06:44","2:56:38","45","45","45",10598,"Gonzales","Scotto"
"Ken Strong","0","M","","00:06:46","2:57:50","46","46","46",10670,"Ken","Strong"
"Arne Richards","0","M","","00:06:47","2:58:16","47","47","47",10696,"Arne","Richards"
"Carlton Cornstock","0","M","","00:06:50","2:59:11","48","48","48",10751,"Carlton","Cornstock"
"Warren Guild","0","M","","00:06:50","2:59:17","49","49","49",10757,"Warren","Guild"
"John O'Donovan","0","M","","00:06:52","3:00:07","50","50","50",10807,"John","O'Donovan"
"William H Best","0","M","","00:06:52","3:00:17","51","51","51",10817,"William H Best",""
"Ernest Medaglia","0","M","","00:06:53","3:00:43","52","52","52",10843,"Ernest","Medaglia"
"Frederick A Ruika","0","M","","00:06:57","3:02:38","53","53","53",10958,"Frederick A Ruika",""
"John A DiComandrea","0","M","","00:07:00","3:03:58","54","54","54",11038,"John A DiComandrea",""
"John J Bianchi","0","M","","00:07:01","3:04:06","55","55","55",11046,"John J Bianchi",""
"Ernest V MacDonald","0","M","","00:07:04","3:05:19","56","56","56",11119,"Ernest V MacDonald",""
"Jerry D Jones","0","M","","00:07:06","3:06:26","57","57","57",11186,"Jerry D Jones",""
"Richard Slanski","0","M","","00:07:10","3:08:07","58","58","58",11287,"Richard","Slanski"
"Daniel M Dunlop","0","M","","00:07:11","3:08:41","59","59","59",11321,"Daniel M Dunlop",""
"Michael J O'Hara","0","M","","00:07:13","3:09:30","60","60","60",11370,"Michael J O'Hara",""
"Gonzalo Alcaino","0","M","","00:07:14","3:09:50","61","61","61",11390,"Gonzalo","Alcaino"
"Robert J Adams","0","M","","00:07:14","3:09:53","62","62","62",11393,"Robert J Adams",""
"Richard A Pedier","0","M","","00:07:18","3:11:25","63","63","63",11485,"Richard A Pedier",""
"Kurt Steiner","0","M","","00:07:19","3:12:12","64","64","64",11532,"Kurt","Steiner"
"Edward J Connor","0","M","","00:07:22","3:13:20","65","65","65",11600,"Edward J Connor",""
"Lovert K VanSchaik","0","M","","00:07:22","3:13:24","66","66","66",11604,"Lovert K VanSchaik",""
"Martin T Torchia","0","M","","00:07:25","3:14:36","67","67","67",11676,"Martin T Torchia",""
"Eugene W Martin","0","M","","00:07:25","3:14:45","68","68","68",11685,"Eugene W Martin",""
"Joseph N Hohmann Jr","0","M","","00:07:34","3:18:26","69","69","69",11906,"Joseph N Hohmann Jr",""
"Claude Gagnon","0","M","","00:07:35","3:18:56","70","70","70",11936,"Claude","Gagnon"
"Ted Lyon","0","M","","00:07:38","3:20:34","71","71","71",12034,"Ted","Lyon"
"Joseph L Torchia","0","M","","00:07:39","3:20:55","72","72","72",12055,"Joseph L Torchia",""
"Bruce K McClean","0","M","","00:07:44","3:23:07","73","73","73",12187,"Bruce K McClean",""
"Dieter Boxman","0","M","","00:07:44","3:23:12","74","74","74",12192,"Dieter","Boxman"
"William R Smith","0","M","","00:07:45","3:23:33","75","75","75",12213,"William R Smith",""
"Robert Simpson","0","M","","00:07:47","3:24:17","76","76","76",12257,"Robert","Simpson"
"Robert C McVeigh","0","M","","00:07:49","3:24:59","77","77","77",12299,"Robert C McVeigh",""
"Elden E Jacobson","0","M","","00:07:49","3:25:07","78","78","78",12307,"Elden E Jacobson",""
"Milton Pataky","0","M","","00:07:49","3:25:12","79","79","79",12312,"Milton","Pataky"
"Peter Bjarkman","0","M","","00:07:51","3:25:50","80","80","80",12350,"Peter","Bjarkman"
"Dwight J Rogers","0","M","","00:07:52","3:26:37","81","81","81",12397,"Dwight J Rogers",""
"Martin E Wallace","0","M","","00:07:54","3:27:14","82","82","82",12434,"Martin E Wallace",""
"Norman J Houle","0","M","","00:07:57","3:28:31","83","83","83",12511,"Norman J Houle",""
"Constantinos Kotteakos","0","M","","00:07:58","3:29:19","84","84","84",12559,"Constantinos","Kotteakos"
"Harold W Canfield","0","M","","00:07:59","3:29:37","85","85","85",12577,"Harold W Canfield",""
"Arnold G Briggs","0","M","","00:07:59","3:29:38","86","86","86",12578,"Arnold G Briggs",""
"Lionel H Roy","0","M","","00:08:00","3:29:54","87","87","87",12594,"Lionel H Roy",""
"David P Hasenfus","0","M","","00:08:03","3:31:13","88","88","88",12673,"David P Hasenfus",""
"Sid Smith","0","M","","00:08:04","3:31:55","89","89","89",12715,"Sid","Smith"
"Allan B Rose","0","M","","00:08:05","3:32:00","90","90","90",12720,"Allan B Rose",""
"Kenneth W Smith","0","M","","00:08:05","3:32:00","90","90","90",12720,"Kenneth W Smith",""
"Patrick J Foley","0","M","","00:08:06","3:32:40","92","92","92",12760,"Patrick J Foley",""
"Eugen B Rosenberg","0","M","","00:08:11","3:34:42","93","93","93",12882,"Eugen B Rosenberg",""
"William T Norris","0","M","","00:08:11","3:34:53","94","94","94",12893,"William T Norris",""
"Ronald C Simjian","0","M","","00:08:12","3:35:22","95","95","95",12922,"Ronald C Simjian",""
"Ronald V Gaff","0","M","","00:08:13","3:35:48","96","96","96",12948,"Ronald V Gaff",""
"Richard J Kreager","0","M","","00:08:15","3:36:28","97","97","97",12988,"Richard J Kreager",""
"Augustus S Wright","0","M","","00:08:16","3:37:09","98","98","98",13029,"Augustus S Wright",""
"Cyril M Gonsorik","0","M","","00:08:22","3:39:40","99","99","99",13180,"Cyril M Gonsorik",""
"Arthur W Annis","0","M","","00:08:25","3:40:58","100","100","100",13258,"Arthur W Annis",""
"Robert H Stengel","0","M","","00:08:25","3:40:59","101","101","101",13259,"Robert H Stengel",""
"Marty Cavanaugh","0","M","","00:08:25","3:41:00","102","102","102",13260,"Marty","Cavanaugh"
"Walter D Barndt","0","M","","00:08:30","3:43:17","103","103","103",13397,"Walter D Barndt",""
"Harold A Gabriel","0","M","","00:08:36","3:45:45","104","104","104",13545,"Harold A Gabriel",""
"Joe Keller","0","M","","00:08:36","3:45:51","105","105","105",13551,"Joe","Keller"
"Martin J Levitas","0","M","","00:08:46","3:50:07","106","106","106",13807,"Martin J Levitas",""
"Charles Broderson","0","M","","00:08:53","3:52:57","107","107","107",13977,"Charles","Broderson"
"Kenneth H Cooper","0","M","","00:08:56","3:54:16","108","108","108",14056,"Kenneth H Cooper",""
