"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Eino Oksanen","0","M","","00:05:26","2:22:42","1","1","1",8562,"Eino","Oksanen"
"John J Kelley","0","M","","00:05:28","2:23:43","2","2","2",8623,"John J Kelley",""
"Gordon Dickson","0","M","","00:05:29","2:24:04","3","3","3",8644,"Gordon","Dickson"
"Veikko Karvonen","0","M","","00:05:30","2:24:37","4","4","4",8677,"Veikko","Karvonen"
"Osvaldo Suarez","0","M","","00:05:39","2:28:24","5","5","5",8904,"Osvaldo","Suarez"
"Robert Pape","0","M","","00:05:39","2:28:28","6","6","6",8908,"Robert","Pape"
"Nobuyoshi Sadanaga","0","M","","00:05:42","2:29:30","7","7","7",8970,"Nobuyoshi","Sadanaga"
"James Green","0","M","","00:05:43","2:29:58","8","8","8",8998,"James","Green"
"Alfred Confalone","0","M","","00:05:52","2:33:50","9","9","9",9230,"Alfred","Confalone"
"Geoffrey Watt","0","M","","00:05:53","2:34:37","10","10","10",9277,"Geoffrey","Watt"
"Thomas C Ryan","0","M","","00:05:59","2:37:03","11","11","11",9423,"Thomas C Ryan",""
"Theodore Corbitt","0","M","","00:06:01","2:38:05","12","12","12",9485,"Theodore","Corbitt"
"David A Pistenna","0","M","","00:06:03","2:38:47","13","13","13",9527,"David A Pistenna",""
"Anthony B Sapienza","0","M","","00:06:07","2:40:41","14","14","14",9641,"Anthony B Sapienza",""
"John P Lafferty","0","M","","00:06:09","2:41:20","15","15","15",9680,"John P Lafferty",""
"Takayuki Nakao","0","M","","00:06:10","2:41:50","16","16","16",9710,"Takayuki","Nakao"
"Billy Smith","0","M","","00:06:14","2:43:30","17","17","17",9810,"Billy","Smith"
"Rod McNicholl","0","M","","00:06:16","2:44:33","18","18","18",9873,"Rod","McNicholl"
"Akira Hatsuku","0","M","","00:06:18","2:45:13","19","19","19",9913,"Akira","Hatsuku"
"John Church","0","M","","00:06:19","2:45:41","20","20","20",9941,"John","Church"
"Allen Hull Jr","0","M","","00:06:21","2:46:34","21","21","21",9994,"Allen Hull Jr",""
"Robert Drake","0","M","","00:06:22","2:47:20","22","22","22",10040,"Robert","Drake"
"Richard Packer","0","M","","00:06:23","2:47:31","23","23","23",10051,"Richard","Packer"
"John A Kelley","0","M","","00:06:24","2:47:57","24","24","24",10077,"John A Kelley",""
"William Murphy","0","M","","00:06:24","2:48:09","25","25","25",10089,"William","Murphy"
