"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Clarence H DeMar","0","M","Massachusetts","00:05:54","2:34:48","1","1","1",9288,"Clarence H DeMar",""
"Willie Kyronen","0","M","New York","00:05:58","2:36:27","2","2","2",9387,"Willie","Kyronen"
"Karl Koski","0","M","New York","00:06:02","2:38:21","3","3","3",9501,"Karl","Koski"
"Harold Webster","0","M","Canada","00:06:04","2:39:27","4","4","4",9567,"Harold","Webster"
"Gabriel Ruotsalainen","0","M","Canada","00:06:08","2:41:05","5","5","5",9665,"Gabriel","Ruotsalainen"
"Ronald B OOToole","0","M","Canada","00:06:10","2:41:55","6","6","6",9715,"Ronald B OOToole",""
"John D - Jock Semple","0","M","Pennsylvania","00:06:16","2:44:29","7","7","7",9869,"John D - Jock Semple",""
"James P Henigan","0","M","Massachusetts","00:06:21","2:46:38","8","8","8",9998,"James P Henigan",""
"Silas McLellan","0","M","Canada","00:06:30","2:50:49","9","9","9",10249,"Silas","McLellan"
"Gordon A Norman","0","M","Massachusetts","00:06:36","2:53:17","10","10","10",10397,"Gordon A Norman",""
"John C Miles","0","M","Canada","00:06:40","2:55:08","11","11","11",10508,"John C Miles",""
"Bill Kennedy","0","M","New York","00:06:40","2:55:08","11","11","11",10508,"Bill","Kennedy"
"David Fagerlund","0","M","New York","00:06:40","2:55:08","11","11","11",10508,"David","Fagerlund"
"J Foxcroft","0","M","","00:06:48","2:58:32","14","14","14",10712,"J","Foxcroft"
"John McLeod","0","M","Canada","00:06:48","2:58:40","15","15","15",10720,"John","McLeod"
"Francis Hughes","0","M","Canada","00:06:49","2:59:05","16","16","16",10745,"Francis","Hughes"
"Russell Jekel","0","M","New York","00:06:51","2:59:38","17","17","17",10778,"Russell","Jekel"
"Jack Foxcroft","0","M","Rhode Island","00:06:53","3:00:44","18","18","18",10844,"Jack","Foxcroft"
"Anthony Wennin Jr","0","M","Massachusetts","00:06:56","3:02:07","19","19","19",10927,"Anthony Wennin Jr",""
"Albert Rodgers","0","M","Canada","00:07:01","3:04:05","20","20","20",11045,"Albert","Rodgers"
"Edward L Brodis","0","M","Massachusetts","00:07:03","3:04:54","21","21","21",11094,"Edward L Brodis",""
"Lewis W Smith","0","M","Massachusetts","00:07:04","3:05:32","22","22","22",11132,"Lewis W Smith",""
"Edwin White","0","M","New York","00:07:05","3:06:03","23","23","23",11163,"Edwin","White"
"Lawrence Reed","0","M","Massachusetts","00:07:07","3:06:37","24","24","24",11197,"Lawrence","Reed"
"Jas Crow","0","M","Connecticut","00:07:09","3:07:35","25","25","25",11255,"Jas","Crow"
"Donald Veinot","0","M","Canada","00:07:14","3:10:02","26","26","26",11402,"Donald","Veinot"
"Walter Lillyman","0","M","Massachusetts","00:07:14","3:10:04","27","27","27",11404,"Walter","Lillyman"
"Charles Fertig","0","M","New York","00:07:16","3:10:40","28","28","28",11440,"Charles","Fertig"
"William Smith","0","M","New York","00:07:16","3:10:57","29","29","29",11457,"William","Smith"
"Leo Giard","0","M","Massachusetts","00:07:18","3:11:31","30","30","30",11491,"Leo","Giard"
"W J Clifford","0","M","Massachusetts","00:07:22","3:13:24","31","31","31",11604,"W J Clifford",""
"Alabama McDonald","0","M","Massachusetts","00:07:25","3:14:42","32","32","32",11682,"Alabama","McDonald"
"G I Wright","0","M","Canada","00:07:28","3:15:56","33","33","33",11756,"G I Wright",""
"Jack O'Reilly","0","M","Canada","00:07:29","3:16:28","34","34","34",11788,"Jack","O'Reilly"
"F McCune","0","M","Massachusetts","00:07:31","3:17:24","35","35","35",11844,"F","McCune"
"Tom Carey","0","M","Massachusetts","00:07:32","3:17:45","36","36","36",11865,"Tom","Carey"
"George Rolland","0","M","New York","00:07:34","3:18:29","37","37","37",11909,"George","Rolland"
