"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Gerard A Cote","0","M","Canada","00:05:39","2:28:25","1","1","1",8905,"Gerard A Cote",""
"John A Kelley","0","M","Massachusetts","00:05:43","2:30:00","2","2","2",9000,"John A Kelley",""
"Fred A McGlone","0","M","Massachusetts","00:05:44","2:30:41","3","3","3",9041,"Fred A McGlone",""
"Lloyd Bairstow","0","M","Massachusetts","00:05:51","2:33:47","4","4","4",9227,"Lloyd","Bairstow"
"Leslie S Pawson","0","M","Rhode Island","00:05:56","2:35:58","5","5","5",9358,"Leslie S Pawson",""
"Don Heinicke","0","M","Maryland","00:06:03","2:38:52","6","6","6",9532,"Don","Heinicke"
"William Wicklund","0","M","New Jersey","00:06:10","2:41:46","7","7","7",9706,"William","Wicklund"
"Anthony Medeiros","0","M","Massachusetts","00:06:15","2:44:17","8","8","8",9857,"Anthony","Medeiros"
"Louis Young","0","M","Massachusetts","00:06:16","2:44:44","9","9","9",9884,"Louis","Young"
"Michael OOHara","0","M","New York","00:06:20","2:46:14","10","10","10",9974,"Michael","OOHara"
"Bruno Mazzeo","0","M","Maine","00:06:22","2:46:59","11","11","11",10019,"Bruno","Mazzeo"
"Frank L Brown","0","M","Massachusetts","00:06:26","2:48:55","12","12","12",10135,"Frank L Brown",""
"John D Semple","0","M","Massachusetts","00:06:33","2:52:10","13","13","13",10330,"John D Semple",""
"Charles A Robbins Jr","0","M","Connecticut","00:06:34","2:52:17","14","14","14",10337,"Charles A Robbins Jr",""
"Frederick M C Bruhm","0","M","Canada","00:06:34","2:52:23","15","15","15",10343,"Frederick M C Bruhm",""
"Adrien Pronovost","0","M","Canada","00:06:37","2:53:50","16","16","16",10430,"Adrien","Pronovost"
"Clarence H DeMar","0","M","Massachusetts","00:06:47","2:57:58","17","17","17",10678,"Clarence H DeMar",""
"Carmon Phillips","0","M","New York","00:06:50","2:59:13","18","18","18",10753,"Carmon","Phillips"
"James F Hewlett","0","M","New York","00:06:55","3:01:23","19","19","19",10883,"James F Hewlett",""
"James F Harris","0","M","Maryland","00:06:55","3:01:36","20","20","20",10896,"James F Harris",""
"Ellison M Brown","0","M","Rhode Island","00:06:56","3:01:52","21","21","21",10912,"Ellison M Brown",""
"Henry LeSage","0","M","Massachusetts","00:07:02","3:04:37","22","22","22",11077,"Henry","LeSage"
"Harry W Murphy","0","M","New York","00:07:08","3:07:17","23","23","23",11237,"Harry W Murphy",""
"Leo O Giard","0","M","Massachusetts","00:07:09","3:07:34","24","24","24",11254,"Leo O Giard",""
"Clayton Farrar","0","M","","00:07:15","3:10:17","25","25","25",11417,"Clayton","Farrar"
"Alfred J Libby","0","M","UNKNOWN","00:07:16","3:10:43","26","26","26",11443,"Alfred J Libby",""
"Allen S Jackson Jr","0","M","Massachusetts","00:07:17","3:11:24","27","27","27",11484,"Allen S Jackson Jr",""
"Charles E Brederson","0","M","Massachusetts","00:07:18","3:11:46","28","28","28",11506,"Charles E Brederson",""
"George Dickson","0","M","New York","00:07:20","3:12:29","29","29","29",11549,"George","Dickson"
"Fred Brown Sr","0","M","Massachusetts","00:07:23","3:13:44","30","30","30",11624,"Fred Brown Sr",""
"Walter H Nichols","0","M","Canada","00:07:25","3:14:31","31","31","31",11671,"Walter H Nichols",""
"Charles W Damon","0","M","Massachusetts","00:07:52","3:26:18","32","32","32",12378,"Charles W Damon",""
"Louis A Bolg","0","M","New Jersey","00:08:02","3:30:42","33","33","33",12642,"Louis A Bolg",""
"Paul P Christopher","0","M","Massachusetts","00:08:04","3:31:32","34","34","34",12692,"Paul P Christopher",""
"Martin Fitzpatrick","0","M","Massachusetts","00:08:04","3:31:34","35","35","35",12694,"Martin","Fitzpatrick"
