"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Geoff Smith","0","M","","00:04:58","2:10:34","1","1","1",7834,"Geoff","Smith"
"Jerry Vanesse","0","M","","00:05:08","2:14:49","2","2","2",8089,"Jerry","Vanesse"
"Domingo Tibaduiza","0","M","","00:05:10","2:15:40","3","3","3",8140,"Domingo","Tibaduiza"
"Juan G Zetina","0","M","","00:05:10","2:15:41","4","4","4",8141,"Juan G Zetina",""
"Keld Johansen","0","M","","00:05:12","2:16:36","5","5","5",8196,"Keld","Johansen"
"Martti Kiilholma","0","M","","00:05:13","2:16:56","6","6","6",8216,"Martti","Kiilholma"
"David M Olds","0","M","","00:05:13","2:17:05","7","7","7",8225,"David M Olds",""
"Jairo Correa","0","M","","00:05:13","2:17:12","8","8","8",8232,"Jairo","Correa"
"Paul Ballinger","0","M","","00:05:14","2:17:39","9","9","9",8259,"Paul","Ballinger"
"Donald G Freedline","0","M","","00:05:15","2:17:46","10","10","10",8266,"Donald G Freedline",""
"Ronald Lanzoni Costa","0","M","","00:05:15","2:17:50","11","11","11",8270,"Ronald Lanzoni Costa",""
"David J McDonald","0","M","","00:05:15","2:17:51","12","12","12",8271,"David J McDonald",""
"Dennis E Northrup","0","M","","00:05:16","2:18:07","13","13","13",8287,"Dennis E Northrup",""
"Jack P Kruse","0","M","","00:05:16","2:18:26","14","14","14",8306,"Jack P Kruse",""
"Richard Ferguson","0","M","","00:05:17","2:18:42","15","15","15",8322,"Richard","Ferguson"
"Dan V Skarda","0","M","","00:05:17","2:18:56","16","16","16",8336,"Dan V Skarda",""
"Kenneth G Judson","0","M","","00:05:17","2:18:57","17","17","17",8337,"Kenneth G Judson",""
"Gordon Minty","0","M","","00:05:18","2:19:03","18","18","18",8343,"Gordon","Minty"
"Miguel Tibaduiza","0","M","","00:05:18","2:19:05","19","19","19",8345,"Miguel","Tibaduiza"
"Mark R Skinkle","0","M","","00:05:18","2:19:09","20","20","20",8349,"Mark R Skinkle",""
"Brock Hinzmann","0","M","","00:05:18","2:19:15","21","21","21",8355,"Brock","Hinzmann"
"Jim Holzman","0","M","","00:05:18","2:19:21","22","22","22",8361,"Jim","Holzman"
"Jukka P Kallio","0","M","","00:05:19","2:19:29","23","23","23",8369,"Jukka P Kallio",""
"Julio Reis","0","M","","00:05:19","2:19:39","24","24","24",8379,"Julio","Reis"
"Mark L Bossardet","0","M","","00:05:20","2:19:52","25","25","25",8392,"Mark L Bossardet",""
"Mike E Sandlin","0","M","","00:05:20","2:20:02","26","26","26",8402,"Mike E Sandlin",""
"Kim T Hartman","0","M","","00:05:20","2:20:04","27","27","27",8404,"Kim T Hartman",""
"Loreto Arana","0","M","","00:05:20","2:20:09","28","28","28",8409,"Loreto","Arana"
"Robert T Murdock","0","M","","00:05:20","2:20:10","29","29","29",8410,"Robert T Murdock",""
"Jorge Gonzalez Puerto","0","M","","00:05:20","2:20:14","30","30","30",8414,"Jorge Gonzalez Puerto",""
"Roger Robinson","0","M","","00:05:20","2:20:15","31","31","31",8415,"Roger","Robinson"
"Norman W Blair","0","M","","00:05:20","2:20:16","32","32","32",8416,"Norman W Blair",""
"Lou Supino","0","M","","00:05:21","2:20:26","33","33","33",8426,"Lou","Supino"
"Timmy Downs","0","M","","00:05:21","2:20:27","34","34","34",8427,"Timmy","Downs"
"Tom Fleming","0","M","","00:05:21","2:20:36","35","35","35",8436,"Tom","Fleming"
"Timothy E Wunsca","0","M","","00:05:21","2:20:39","36","36","36",8439,"Timothy E Wunsca",""
"Lyle Parker","0","M","","00:05:22","2:20:43","37","37","37",8443,"Lyle","Parker"
"Peter J McNeill","0","M","","00:05:22","2:20:51","38","38","38",8451,"Peter J McNeill",""
"Richard M Leland","0","M","","00:05:22","2:20:57","39","39","39",8457,"Richard M Leland",""
"Steven J Snover","0","M","","00:05:22","2:21:02","40","40","40",8462,"Steven J Snover",""
"Chris Pilone","0","M","","00:05:22","2:21:07","41","41","41",8467,"Chris","Pilone"
