"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Arne Richards","0","M","","00:04:35","2:00:26","1","1","1",7226,"Arne","Richards"
"Morio Shigematsu","0","M","","00:05:12","2:16:33","2","2","2",8193,"Morio","Shigematsu"
"Hideaki Shishido","0","M","","00:05:13","2:17:13","3","3","3",8233,"Hideaki","Shishido"
"Takayuki Nakeo","0","M","","00:05:14","2:17:31","4","4","4",8251,"Takayuki","Nakeo"
"Aurele Vandendriessche","0","M","","00:05:15","2:17:44","5","5","5",8264,"Aurele","Vandendriessche"
"Yoshikazu Funasako","0","M","","00:05:16","2:18:18","6","6","6",8298,"Yoshikazu","Funasako"
"Kazuo Matsubara","0","M","","00:05:18","2:19:17","7","7","7",8357,"Kazuo","Matsubara"
"Ralph Buschmann","0","M","","00:05:21","2:20:20","8","8","8",8420,"Ralph","Buschmann"
"Eino Oksanen","0","M","","00:05:23","2:21:13","9","9","9",8473,"Eino","Oksanen"
"Eino Velle","0","M","","00:05:24","2:21:52","10","10","10",8512,"Eino","Velle"
"Erik Ostbye","0","M","","00:05:27","2:23:05","11","11","11",8585,"Erik","Ostbye"
"Ronald Wallingford","0","M","","00:05:28","2:23:36","12","12","12",8616,"Ronald","Wallingford"
"Gar Williams","0","M","","00:05:32","2:25:06","13","13","13",8706,"Gar","Williams"
"L C Castagnola","0","M","","00:05:32","2:25:12","14","14","14",8712,"L C Castagnola",""
"Johnny Kelley","0","M","","00:05:32","2:25:23","15","15","15",8723,"Johnny","Kelley"
"Ron Daws","0","M","","00:05:42","2:29:31","16","16","16",8971,"Ron","Daws"
"Lawrence Smith","0","M","","00:05:44","2:30:33","17","17","17",9033,"Lawrence","Smith"
"Mike Kimball","0","M","","00:05:44","2:30:45","18","18","18",9045,"Mike","Kimball"
"James Freeman","0","M","","00:05:45","2:30:53","19","19","19",9053,"James","Freeman"
"Roger Hauck","0","M","","00:05:46","2:31:17","20","20","20",9077,"Roger","Hauck"
"William Schab","0","M","","00:05:48","2:32:07","21","21","21",9127,"William","Schab"
"Walter Hewlett","0","M","","00:05:49","2:32:34","22","22","22",9154,"Walter","Hewlett"
"Thomas McCarthy","0","M","","00:05:50","2:32:59","23","23","23",9179,"Thomas","McCarthy"
"Frederick Ross","0","M","","00:05:51","2:33:29","24","24","24",9209,"Frederick","Ross"
"Richard Ashley","0","M","","00:05:51","2:33:35","25","25","25",9215,"Richard","Ashley"
"Ambrose Burfoot","0","M","","00:05:52","2:34:09","26","26","26",9249,"Ambrose","Burfoot"
"Thomas Durie","0","M","","00:05:54","2:34:44","27","27","27",9284,"Thomas","Durie"
"Robert Scharf","0","M","","00:05:55","2:35:16","28","28","28",9316,"Robert","Scharf"
"Adolf Gruber","0","M","","00:05:55","2:35:31","29","29","29",9331,"Adolf","Gruber"
"Vincent Chiappeth","0","M","","00:05:56","2:35:55","30","30","30",9355,"Vincent","Chiappeth"
"Daniel McKinney","0","M","","00:05:58","2:36:37","31","31","31",9397,"Daniel","McKinney"
